_id,Municipality,Tier,Region,Affordable purchase price of a detached house ($),Affordable purchase price of a semi-detached house ($),Affordable purchase price of a row/townhouse ($),Affordable purchase price of a condominium apartment ($),Purchase price based on income ($),Ninety per cent of average purchase price - detached ($),Ninety per cent of average purchase price - semi-detached ($),Ninety per cent of average purchase price - row/townhouse ($),Ninety per cent of average purchase price - condo apt ($),Average purchase price of a detached house ($),Average purchase price of a semi-detached house ($),Average purchase price of a row/townhouse ($),Average purchase price of a condominium apartment ($),Threshold applied for a detached house; and substitution ($),Threshold applied for a semi-detached; and substitution ($),Threshold applied for a row/townhouse; and substitution ($),Threshold applied for a condo apartment; and substitution ($),Affordable monthly rent of a bachelor unit ($),Affordable monthly rent of a 1-bedroom unit ($),Affordable monthly rent of a 2-bedroom unit ($),Affordable monthly rent of a 3+ bedroom unit ($),Rent based on income ($),Average market rent of a bachelor unit ($),Average market rent of a 1-bedroom unit ($),Average market rent of a 2-bedroom unit ($),Average market rent of a 3+ bedroom unit ($),Threshold applied for a bachelor unit; and substitution ($),Threshold applied for a 1-bedroom unit; and substitution ($),Threshold applied for a 2-bedroom unit; and substitution ($),Threshold applied for a 3+ bedroom unit; and substitution ($)
11,Amherstburg T,LT,Western,"450,100","450,100","450,100","378,000","450,100","657,000","558,000","459,000","378,000","730,000","620,000","510,000","420,000",Income; Base,Income; Base,Income; Base,Price; Base,942,"1,626","1,680","1,680","1,680",942,"1,626","2,213","1,744",Rent; CD,Rent; Base,Income; Base,Income; Base
12,Armour Tp,ST,Northeastern,"318,200","261,000","318,200","318,200","318,200","657,000","261,000","612,000","675,000","730,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
13,Armstrong Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","333,700","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,430","1,620","1,620",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; Base
14,Arnprior T,LT,Eastern,"345,300","345,300","345,300","288,000","345,300","558,000","468,000","450,000","288,000","620,000","520,000","500,000","320,000",Income; Base,Income; Base,Income; Base,Price; Base,"1,281","1,302","1,679","1,592","1,720","1,281","1,302","1,679","1,592",Rent; Region,Rent; Base,Rent; Base,Rent; CD
15,Arran-Elderslie M,LT,Western,"368,600","368,600","368,600","368,600","368,600","522,000","459,000","531,000","549,000","580,000","510,000","590,000","610,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,254","1,570","1,570","1,570","1,082","1,254","1,783","1,828",Rent; Region,Rent; CD,Income; Base,Income; Base
16,Ashfield-Colborne-Wawanosh Tp,LT,Western,"372,500","372,500","372,500","372,500","372,500","657,000","450,000","459,000","495,000","730,000","500,000","510,000","550,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,205","1,804","1,744","1,990","1,082","1,205","1,804","1,744",Rent; Region,Rent; CD,Rent; CD,Rent; Region
17,Asphodel-Norwood Tp,LT,Eastern,"368,600","368,600","368,600","368,600","368,600","576,000","486,000","531,000","558,000","640,000","540,000","590,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,990,"1,245","1,518","1,730","1,890",990,"1,245","1,518","1,730",Rent; CD,Rent; CD,Rent; CD,Rent; CD
18,Assiginack Tp,ST,Northeastern,"391,900","261,000","252,000","324,000","391,900","396,000","261,000","252,000","324,000","440,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Price; Region,879,"1,173","1,430","1,643","1,760",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
19,Athens Tp,LT,Eastern,"376,400","376,400","376,400","376,400","376,400","432,000","387,000","387,000","405,000","480,000","430,000","430,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,976,"1,175","1,322","1,247","1,850",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
20,Atikokan Tp,ST,Northwestern,"162,000","243,000","324,000","306,000","325,900","162,000","243,000","324,000","306,000","180,000","270,000","360,000","340,000",Price; Base,Price; Region,Price; Region,Price; Region,950,"1,110","1,110","1,110","1,110",950,"1,163","1,479","1,851",Rent; Region,Income; Base,Income; Base,Income; Base
